id,scientificNameWithoutAuthor,commonNames,gbifId,powoId,iucnCategory
1364038,Valantia hispida,Hispid Valantia; Spiny Valantia,2894034,769659-1,
1360437,Valantia muralis,Wall Valantia,2894036,769669-1,
1743866,Valeriana × aurigerana,,10713477,77183684-1,
1746928,Valeriana × braunii-blanquetii,,7298807,859641-1,
1439448,Valeriana acutiloba,Cordilleran Valerian; Sharpleaf valerian; Downy fruited valerian; Subalpine Valerian,2888751,262114-2,
1491586,Valeriana alliariifolia,,8270110,859565-1,
1491588,Valeriana alypifolia,,7298885,286610-2,LC
1743107,Valeriana angustifolia,Narrow leaved red valerian; Vitry weed,7875916,859591-1,
1360840,Valeriana apula,Globularia leaved valerian,8032355,859598-1,
1832589,Valeriana aretioides,,4095179,286613-2,
1491592,Valeriana asarifolia,Cretan Valerian,4095113,859610-1,
1747805,Valeriana battandieri,,9693044,77184000-1,
1491601,Valeriana bertiscea,,4094944,859626-1,
1842077,Valeriana boelckei,,4094921,302597-2,
1722514,Valeriana calcitrapae,,4096047,859656-1,
1816644,Valeriana californica,California valerian,2888743,262151-2,
1713543,Valeriana candolleana,,4095972,286618-2,
1722704,Valeriana carinata,,9743950,77184080-1,
1491615,Valeriana carnosa,,4095886,262159-2,
1396974,Valeriana celtica,Celtic Spikenard; Celtic valerian,7298940,859673-1,
1491622,Valeriana chaerophylloides,,4095740,859680-1,
1816842,Valeriana ciliosa,Celtic spikenard,9671423,77184110-1,
1491627,Valeriana clarionifolia,,7446342,859691-1,
1491628,Valeriana clematitis,,4095577,286620-2,
1815681,Valeriana congesta,Rosy Plectritis; Sea Foam; Shortspur Seablush,9789208,77183888-1,
1743969,Valeriana cornucopiae,African Valerian,4095358,859709-1,
1722517,Valeriana coronata,,4095344,859711-1,
1823683,Valeriana deltoidea,,7949778,262190-2,
1722519,Valeriana dentata,,4094957,859741-1,
1397518,Valeriana dioica,Marsh valerian; Small wild valerian; Marsh Valeriana; Northern Valerian; Lesser valerian; Woods Valerian; Arizona Valerian,2888762,30028947-2,LC
1722518,Valeriana discoidea,,4094860,859751-1,
1743258,Valeriana echinata,,4094789,859760-1,
1491651,Valeriana edulis,Tobacco root; Edible valerian; Hairy valerian; Taprooted valerian,8353967,859761-1,
1399434,Valeriana elongata,Elongated valerian,4096073,859772-1,
1839349,Valeriana erikae,,9760339,77184049-1,
1722703,Valeriana eriocarpa,,9786496,77183776-1,
1767391,Valeriana erotica,,9734907,77183853-1,
1737492,Valeriana excelsa,Octoploid valerian,8188719,859782-1,
1491657,Valeriana fauriei,Garden valerian; All heal; Cat's valerian; Common valerian; Garden heliotrope; Korean valerian; Валерьянка,7298944,859789-1,
1491658,Valeriana fedtschenkoi,,4095850,859790-1,
1491661,Valeriana flaccidissima,,4095792,859795-1,
1820107,Valeriana galeottiana,,4095655,859807-1,
1837936,Valeriana globularis,,4095476,859822-1,DD
1743348,Valeriana graciliflora,,9811008,77184134-1,
1835800,Valeriana henrici,,4095222,286629-2,
1745140,Valeriana italica,,4094790,859882-1,
1729440,Valeriana jatamansi,Indian valerian,10921199,60458931-2,
1491698,Valeriana lapathifolia,,4095918,859914-1,
1491700,Valeriana laxiflora,,7298947,859920-1,
1491701,Valeriana laxissima,,4095851,262255-2,
1743865,Valeriana lecoqii,Valerian; Lecoq's Valerian; Lecoq's Valeriana; Valeriana,10963986,77184224-1,
1722516,Valeriana locusta,Lamb's lettuce; Common corn salad; European corn salad; European cornsalad; Cornsalad; Nut Lettuce; Common Cornsalad; Corn Salad; Mache; Common Mache; Common Nut lettuce; Field Salad; Mâche; Valerian Salad; Wild Cornsalad,7298919,859937-1,
1491707,Valeriana longiflora,,7298915,859939-1,
1744360,Valeriana macrosiphon,,4095520,859952-1,
1491719,Valeriana microphylla,,4095247,286639-2,
1396976,Valeriana montana,Mountain valerian; Dwarf valerian,7735944,859983-1,
1744890,Valeriana nevadensis,,9751651,77183909-1,
1832596,Valeriana niphobia,,4094924,262283-2,
1404405,Valeriana nivalis,,4094911,860004-1,
1746038,Valeriana obtusiloba,,9707866,77183692-1,
1816056,Valeriana occidentalis,Small flower valerian; Western valerian; Western valeriana,2888753,262284-2,
1396978,Valeriana officinalis,Garden heliotrope; Common valerian; Garden Valerian; Valerian; European valerian; Allheal; Cat's valerian; Garðabrúða; Great wild valerian,2888763,860012-1,
1851109,Valeriana orientalis,,,77331186-1,
1820109,Valeriana palmeri,,7351554,262289-2,
1491738,Valeriana papilla,,7298984,860031-1,
1439454,Valeriana pauciflora,Largeflower valerian; Large flower valeriana; Long tube valeriana; Large Flower Valerian,2888747,860039-1,
1839346,Valeriana paulae,,9818692,77184140-1,
1832598,Valeriana petersenii,,4095877,301436-2,
1363004,Valeriana phu,Turkey Valerian,8201823,860052-1,
1491746,Valeriana pilosa,,8083409,286641-2,
1743349,Valeriana pleurota,,9677955,77183616-1,
1423433,Valeriana potopensis,,4095569,262309-2,
1491754,Valeriana prionophylla,,4095534,262310-2,
1491760,Valeriana pulchella,,7777377,860092-1,
1832597,Valeriana pycnantha,,4095240,860099-1,LC
1396980,Valeriana pyrenaica,Pyrenean Valerian; Heart leaved Valerian; Pyranean Valerian; Valerian; Cantabrian Mountains Valerian,4095186,860103-1,
1725327,Valeriana rigida,,4094868,286650-2,
1737668,Valeriana rimosa,,9679619,77184098-1,
1491772,Valeriana robertianifolia,,4094836,262336-2,
1722520,Valeriana rubra,Red Valerian; Valerian; Jupiter's Beard; Bouncing Bess; Centranthus ruber; Common Red Valerian; Common Valerian; Red Centranthus; Red Valeriana,4094753,860141-1,
1842513,Valeriana ruizlealii,,4096167,262340-2,
1396982,Valeriana saliunca,Entire leaved valerian; Sharpleaf Valerian,4096053,860155-1,
1399746,Valeriana saxatilis,Rock valerian; Alpine Valerian; Valerian spikenard,7498158,860164-1,
1439455,Valeriana scandens,Florida valerian,2888764,30039915-2,
1745272,Valeriana sibthorpii,,9666864,77184236-1,
1414159,Valeriana sitchensis,Sitka Valerian; Pacific valerian; Marsh valerian; Mountain Heliotrope; Mountain valerian; Swamp valerian; Valerian; White Valerian,2888754,860194-1,
1439456,Valeriana sorbifolia,Pineland valerian,2888750,286655-2,
1491796,Valeriana stenophylla,,4095347,262370-2,
1737490,Valeriana stolonifera,Tetraploid valerian,7298871,860213-1,
